id;Atendido pela produção?;CFOP do item de pedido;Classificação da grade do item;Cliente;CNPJ do cliente;CNPJ/CPF do cliente do pedido;Código da empresa;Código da proposta;Código do cliente do pedido;Código do produto;Código do produto no cliente;Código secundário do produto;Condição de pagamento do pedido;Contato;Data de emissão;Data de entrega;Data do início do relacionamento com a pessoa;Descrição do produto;Empresa;Família de produto do item de pedido de venda;Grupo de produto do item de pedido de venda;Id do item de pedido;Id do pedido;Item do pedido de compra do cliente de item do pedido de venda;Item do pedido de venda;Modalidade de transporte do pedido de venda;Município do cliente;Nome da transportadora do pedido de venda;Observações do pedido de venda;Pedido compra do cliente do item de pedido de venda;Pedido de venda;Preço unitário;Qtde antedida pela produção;Qtde atendida;Qtde devolvida;Qtde pedida;Qtde produzida;Razão social do cliente;Representante do pedido de venda;Saldo;Saldo pronto para faturar;Status;Telefone do cliente;Tipo de movimentação do item de pedido;Tipo de movimentação do pedido;Tipo de pedido;Tipo de produto do item de pedido de venda;UF do cliente;Unidade de medida;Valor de Outras despesas acessórias do item de pedido;Valor do COFINS do item de pedido;Valor do Frete do item de pedido;Valor do ICMS Desonerado do item de pedido;Valor do ICMS do item de pedido;Valor do ICMS ST do item de pedido;Valor do IPI do item de pedido;Valor do PIS do item de pedido;Valor do Seguro do item de pedido;Valor total do item do pedido do item de pedido;Valor total do produto com desconto do item de pedido;Valor total do produto do item de pedido;Vendedor
235;false;5101;;KIMBERLY -CLARK BRASIL INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE LTDA;02.290.277/0019-50;02.290.277/0019-50;1;;124;A160PL32;;1019706;75 DDL;Camila;01/03/2019 00:00;25/02/2019 00:00;02/08/2018 00:00;ORING BICO CF;Applic Hot Melt Aplications;;ORING;235;158;;3;0) Contratação do Frete por conta do Remetente (CIF);Suzano;;;4503514982;PV00143;12,54;0;0;0;165;0;KIMBERLY -CLARK BRASIL INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE LTDA;;165;0;Liberado;55 (11) 3117--5555;Venda de produção do estabelecimento;Venda de produção do estabelecimento;SEPARAÇÃO;Materia prima;SP;PEÇA;0;0;0;0;;0;0;0;0;2.069,10;2.069,10;2.069,10;FELIPE CASANOVA
234;true;5101;;KIMBERLY -CLARK BRASIL INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE LTDA;02.290.277/0019-50;02.290.277/0019-50;1;;124;A2172PL37;;;;;28/02/2019 00:00;14/03/2019 00:00;02/08/2018 00:00;SHIMPLATE CONSTRUÇÃO G ? BCM-530-126-03;Applic Hot Melt Aplications;;LÂMINAS;234;157;;1;0) Contratação do Frete por conta do Remetente (CIF);Suzano;;;4503519412;PV00142;312;0;0;0;3;0;KIMBERLY -CLARK BRASIL INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE LTDA;;3;0;Liberado;55 (11) 3117--5555;Venda de produção do estabelecimento;Venda de produção do estabelecimento;;Produto comercializado;SP;PEÇA;0;;0;0;;0;0;;0;936;936;936;FELIPE CASANOVA
233;true;5101;;KGM MANUTENCAO E SUPORTE TECNICO LTDA - ME;19.568.749/0001-68;19.568.749/0001-68;1;;198;A4016PL45;;;;CLAIR AMORIM;28/02/2019 00:00;28/03/2019 00:00;18/10/2018 00:00;KIT REPARO ITW;Applic Hot Melt Aplications;;KIT REPARO;233;156;;1;0) Contratação do Frete por conta do Remetente (CIF);São Paulo;;;;PV00141;2.430;3;0;0;3;0;KGM MANUTENCAO E SUPORTE TECNICO LTDA - ME;;3;0;Liberado;4091-7124 / (11) 4092-2158;Venda de produção do estabelecimento;;;Produto comercializado;SP;UNIDADE;0;;0;0;;0;0;;0;7.290;7.290;7.290;FELIPE CASANOVA
232;true;5101;;P & G;59.476.770/0022-82;59.476.770/0022-82;1;;192;A486PL45;;;;;28/02/2019 00:00;28/03/2019 00:00;16/10/2018 00:00;BASE TROCA RÁPIDO BICO SLOT VECTOR S3/S4;Applic Hot Melt Aplications;;;232;155;;3;0) Contratação do Frete por conta do Remetente (CIF);Louveira;;;;PV00140;2.050;2;0;0;2;0;PROCTER & GAMBLE DO BRASIL S.A.;;2;0;Liberado;;Venda de produção do estabelecimento;;;Materia prima;SP;PEÇA;0;;0;0;;0;0;;0;4.100;4.100;4.100;FELIPE CASANOVA
231;true;5101;;P & G;59.476.770/0022-82;59.476.770/0022-82;1;177;192;A318PL32;;;;;28/02/2019 00:00;30/03/2019 09:42;16/10/2018 00:00;BICO SLOT VECTOR;Applic Hot Melt Aplications;;BICO SLOT;231;155;;1;0) Contratação do Frete por conta do Remetente (CIF);Louveira;;;;PV00140;4.450;2;0;0;2;0;PROCTER & GAMBLE DO BRASIL S.A.;;2;0;Liberado;;Venda de produção do estabelecimento;;;Produto acabado;SP;PEÇA;0;;0;0;;0;0;;0;8.900;8.900;8.900;FELIPE CASANOVA
230;true;5933;;P & G;59.476.770/0022-82;59.476.770/0022-82;1;178;192;S085;;;;;27/02/2019 00:00;29/03/2019 20:45;16/10/2018 00:00;REFORMA DE BICOS SLOT;Applic Hot Melt Aplications;;BICO SLOT;230;154;;4;0) Contratação do Frete por conta do Remetente (CIF);Louveira;;;;PV00139;2.210;1;0;0;1;0;PROCTER & GAMBLE DO BRASIL S.A.;;1;0;Liberado;;Venda de Serviço;Venda de produção do estabelecimento;;Serviço;SP;UNIDADE;0;;0;0;;0;0;;0;2.210;2.210;2.210;FELIPE CASANOVA
229;true;5933;;P & G;59.476.770/0022-82;59.476.770/0022-82;1;178;192;S086;;;;;27/02/2019 00:00;29/03/2019 20:45;16/10/2018 00:00;SERVIÇO DE RECUPERAÇÃO EM TANQUES;Applic Hot Melt Aplications;;;229;154;;3;0) Contratação do Frete por conta do Remetente (CIF);Louveira;;;;PV00139;12.890;1;0;0;1;0;PROCTER & GAMBLE DO BRASIL S.A.;;1;0;Liberado;;Venda de Serviço;Venda de produção do estabelecimento;;Serviço;SP;UNIDADE;0;;0;0;;0;0;;0;12.890;12.890;12.890;FELIPE CASANOVA
228;true;5933;;P & G;59.476.770/0022-82;59.476.770/0022-82;1;178;192;A4016PL45;;;;;27/02/2019 00:00;13/04/2019 20:45;16/10/2018 00:00;KIT REPARO ITW;Applic Hot Melt Aplications;;KIT REPARO;228;154;;2;0) Contratação do Frete por conta do Remetente (CIF);Louveira;;;;PV00139;2.085;5;0;0;5;0;PROCTER & GAMBLE DO BRASIL S.A.;;5;0;Liberado;;Venda de Serviço;Venda de produção do estabelecimento;;Produto comercializado;SP;UNIDADE;0;;0;0;;0;0;;0;10.425;10.425;10.425;FELIPE CASANOVA
227;true;5933;;P & G;59.476.770/0022-82;59.476.770/0022-82;1;178;192;S085;;;;;27/02/2019 00:00;29/03/2019 20:45;16/10/2018 00:00;REFORMA DE BICOS SLOT;Applic Hot Melt Aplications;;BICO SLOT;227;154;;1;0) Contratação do Frete por conta do Remetente (CIF);Louveira;;;;PV00139;1.830;1;0;0;1;0;PROCTER & GAMBLE DO BRASIL S.A.;;1;0;Liberado;;Venda de Serviço;Venda de produção do estabelecimento;;Serviço;SP;UNIDADE;0;;0;0;;0;0;;0;1.830;1.830;1.830;FELIPE CASANOVA
225;true;6101;;ACTIVE SENADOR CANEDO;22.010.816/0001-39;22.010.816/0001-39;1;175;134;A810PL32;;;;CLAUDIO DIAS;27/02/2019 00:00;29/03/2019 15:06;10/09/2018 00:00;MODULO COMPLETO UM25-ALUMINIO;Applic Hot Melt Aplications;;MÓDULO UM;225;153;;1;0) Contratação do Frete por conta do Remetente (CIF);Senador Canedo;;;;PV00138;2.050;5;0;0;5;0;ACTIVE INDUSTRIA DE COSMETICOS S.A.;;5;0;Liberado;3878-8448 / (62) 3878-8175;Venda de produção do estabelecimento;Venda de produção do estabelecimento;;Produto acabado;GO;PEÇA;0;;0;0;;0;0;;0;9.737,50;9.737,50;10.250;FRANCO
224;true;6101;;EVER GREEN;11.586.009/0001-42;11.586.009/0001-42;1;145;43;A4430PL20;;;;;27/02/2019 00:00;29/03/2019 13:39;28/03/2018 00:00;CORPO DO MODULO DE INOX-UM50;Applic Hot Melt Aplications;;;224;152;;2;0) Contratação do Frete por conta do Remetente (CIF);Maracanaú;;"a) Prazo de entrega: passará a vigorar após o pedido de compra recebido.
b) Deverá constar no pedido de compra o número da proposta comercial.
c) Frete: Posto Applic - Mogi das Cruzes (FOB)
d) Garantia: 120 dias
e) Não destacamos os impostos por estarmos enquadrados no simples nacional";000318 /1;PV00137;1.355,20;1;0;0;1;0;EVER GREEN DO NORDESTE INDUSTRIA E COMERCIO LTDA;;1;0;Liberado;55 (85) 3472-6847;Venda de produção do estabelecimento;Venda de produção do estabelecimento;SEPARAÇÃO;Produto acabado;CE;UNIDADE;0;;0;0;;0;0;;0;1.355,20;1.355,20;1.355,20;FRANCO
223;true;5101;;EVER GREEN;11.586.009/0001-42;11.586.009/0001-42;1;145;43;A199PL32;;;;;27/02/2019 00:00;29/03/2019 13:39;28/03/2018 00:00;KIT REPARO UM 22/25/50;Applic Hot Melt Aplications;;MÓDULO UM;223;152;;1;0) Contratação do Frete por conta do Remetente (CIF);Maracanaú;;"a) Prazo de entrega: passará a vigorar após o pedido de compra recebido.
b) Deverá constar no pedido de compra o número da proposta comercial.
c) Frete: Posto Applic - Mogi das Cruzes (FOB)
d) Garantia: 120 dias
e) Não destacamos os impostos por estarmos enquadrados no simples nacional";000318 /1;PV00137;490;1;0;0;1;0;EVER GREEN DO NORDESTE INDUSTRIA E COMERCIO LTDA;;1;0;Liberado;55 (85) 3472-6847;Venda de produção do estabelecimento;Venda de produção do estabelecimento;SEPARAÇÃO;Produto industrializado;CE;PEÇA;0;;0;0;;0;0;;0;490;490;490;FRANCO
222;true;5101;;KIMBERLY -CLARK BRASIL INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE LTDA;02.290.277/0019-50;02.290.277/0019-50;1;;124;A1318PL28;;;75 DDL;;26/02/2019 00:00;27/03/2019 00:00;02/08/2018 00:00;CORPO MODULO SC2;Applic Hot Melt Aplications;;MÓDULO SPEED COAT;222;151;;1;0) Contratação do Frete por conta do Remetente (CIF);Suzano;;;4503533683;PV00136;1.314,01;3;3;0;3;0;KIMBERLY -CLARK BRASIL INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE LTDA;;0;0;Atendido totalmente;55 (11) 3117--5555;Venda de produção do estabelecimento;Venda de produção do estabelecimento;;Produto acabado;SP;PEÇA;0;0;0;0;;0;0;0;0;3.942,03;3.942,03;3.942,03;FELIPE CASANOVA
221;true;5933;;CMPC;44.145.845/0011-12;44.145.845/0011-12;1;136;145;S028;;;;Andre;26/02/2019 00:00;28/03/2019 11:06;14/09/2018 00:00;SERVIÇO DE REFORMA DE MANGUEIRAS;Applic Hot Melt Aplications;;REFORMA DE MANGUEIRAS;221;150;;2;0) Contratação do Frete por conta do Remetente (CIF);Caieiras;;"a) Prazo de entrega: passará a vigorar após o pedido de compra recebido.
b) Deverá constar no pedido de compra o número da proposta comercial.
c) Frete: Posto Applic - Mogi das Cruzes (FOB)
d) Garantia: 120 dias
e) Não destacamos os impostos por estarmos enquadrados no simples nacional
f) Condição de pagamento: 30 DDL";3200002275;PV00135;1.140;1;0;0;1;0;MELHORAMENTOS CMPC LTDA;;1;0;Liberado;;Venda de Serviço;Venda de Serviço;;Produto comercializado;SP;UNIDADE;0;;0;0;;0;0;;0;1.003,20;1.003,20;1.140;FRANCO
220;true;5933;;CMPC;44.145.845/0011-12;44.145.845/0011-12;1;136;145;SERV.033;;;;Andre;26/02/2019 00:00;28/03/2019 11:06;14/09/2018 00:00;REFORMA MECÂNICA DE COLEIRO;Applic Hot Melt Aplications;;;220;150;;1;0) Contratação do Frete por conta do Remetente (CIF);Caieiras;;"a) Prazo de entrega: passará a vigorar após o pedido de compra recebido.
b) Deverá constar no pedido de compra o número da proposta comercial.
c) Frete: Posto Applic - Mogi das Cruzes (FOB)
d) Garantia: 120 dias
e) Não destacamos os impostos por estarmos enquadrados no simples nacional
f) Condição de pagamento: 30 DDL";3200002275;PV00135;4.830;1;0;0;1;0;MELHORAMENTOS CMPC LTDA;;1;0;Liberado;;Venda de Serviço;Venda de Serviço;;Serviço;SP;UNIDADE;0;;0;0;;0;0;;0;4.250,40;4.250,40;4.830;FRANCO
208;true;5101;;KIMBERLY -CLARK BRASIL INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE LTDA;02.290.277/0019-50;02.290.277/0019-50;1;;124;A2172PL37;;;;;25/02/2019 00:00;06/03/2019 00:00;02/08/2018 00:00;SHIMPLATE CONSTRUÇÃO G ? BCM-530-126-03;Applic Hot Melt Aplications;;LÂMINAS;208;138;;1;0) Contratação do Frete por conta do Remetente (CIF);Suzano;;;;PV00134;380;3;0;0;3;0;KIMBERLY -CLARK BRASIL INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE LTDA;;3;0;Liberado;55 (11) 3117--5555;Venda de produção do estabelecimento;Venda de produção do estabelecimento;;Produto comercializado;SP;PEÇA;0;;0;0;;0;0;;0;1.140;1.140;1.140;FELIPE CASANOVA
207;false;5101;;KIMBERLY -CLARK BRASIL INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE LTDA;02.290.277/0019-50;02.290.277/0019-50;1;;124;A160PL32;;1019706;;;20/02/2019 00:00;19/03/2019 00:00;02/08/2018 00:00;ORING BICO CF;Applic Hot Melt Aplications;;ORING;207;137;;1;0) Contratação do Frete por conta do Remetente (CIF);Suzano;;;4503529794;PV00133;12,54;0;0;0;450;0;KIMBERLY -CLARK BRASIL INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE LTDA;;450;0;Liberado;55 (11) 3117--5555;Venda de produção do estabelecimento;Venda de produção do estabelecimento;SEPARAÇÃO;Materia prima;SP;PEÇA;0;0;0;0;;0;0;0;0;5.643;5.643;5.643;FELIPE CASANOVA
200;false;5101;;KIMBERLY -CLARK BRASIL INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE LTDA;02.290.277/0019-50;02.290.277/0019-50;1;;124;A138PL32;;;75 DDL;;20/02/2019 00:00;13/03/2019 00:00;02/08/2018 00:00;ANEL O´RING VITON 48X2MM;Applic Hot Melt Aplications;;ORING;200;130;;2;0) Contratação do Frete por conta do Remetente (CIF);Suzano;;;4503529181;PV00132;12,6;0;100;0;100;0;KIMBERLY -CLARK BRASIL INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE LTDA;;0;0;Atendido totalmente;55 (11) 3117--5555;Venda de produção do estabelecimento;Venda de produção do estabelecimento;SEPARAÇÃO;Materia prima;SP;PEÇA;0;0;0;0;;0;0;0;0;1.260;1.260;1.260;FELIPE CASANOVA
199;false;5101;;KIMBERLY -CLARK BRASIL INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE LTDA;02.290.277/0019-50;02.290.277/0019-50;1;;124;A168PL32;;401853;75 DDL;;20/02/2019 00:00;13/03/2019 00:00;02/08/2018 00:00;QUAD-RING 8,2x1,78;Applic Hot Melt Aplications;;ORING;199;130;;1;0) Contratação do Frete por conta do Remetente (CIF);Suzano;;;4503529181;PV00132;30,7;0;120;0;120;0;KIMBERLY -CLARK BRASIL INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE LTDA;;0;0;Atendido totalmente;55 (11) 3117--5555;Venda de produção do estabelecimento;Venda de produção do estabelecimento;SEPARAÇÃO;Produto comercializado;SP;UNIDADE;0;0;0;0;;0;0;0;0;3.684;3.684;3.684;FELIPE CASANOVA
