id;% de conclusão do produto em andamento do apontamento origem;Ano;Ativo do apontamento origem;Capacidade disponível funcionário no dia da data final do apontamento;Capacidade disponível funcionário no mês da data final do apontamento;Capacidade disponível funcionário no turno/dia da data final do apontamento;Capacidade disponível recurso no dia da data final do apontamento;Capacidade disponível recurso no mês da data final do apontamento;Capacidade disponível recurso no turno/dia da data final do apontamento;Causa do reporte de subproduto da movimentação;Centro de trabalho do recurso do apontamento origem;Cliente do pedido de venda;Codigo da movimentação;Código da movimentação de reporte da produção origem da apropriação;Código do apontamento origem;Código do produto da movimentação;Código do produto da ordem de agrupamento relacionada a ordem de produção;Código do produto da ordem de produção;Código do produto do item de pedido de venda;Custo padrão do produto;Custo total;Custo total descontando devoluções;Custo unitário;Data/hora da movimentação;Data/hora da movimentação milisegundos;Data/hora de emissão da ordem de produção da movimentação;Data/hora final do apontamento origem;Data/hora inicial do apontamento origem;Descrição da operação do roteiro da ordem relacionada ao reporte de subproduto;Descrição do produto da movimentação;Descrição do produto da ordem de agrupamento relacionada a ordem de produção;Descrição do produto da ordem de produção;Descrição do produto do item de pedido de venda;Descrição dos produtos apropriados;Dia;Duração do apontamento origem;Empresa da movimentação;Família de produto da movimentação;Família de produto da ordem de produção;Função no PCP do tipo de movimentação;Funcionário do apontamento origem;Funcionário relacionado ao reporte de subproduto;Grupo de produto da movimentação;Grupo de produto da ordem de produção;Item de pedido de venda da ordem de produção;Matricula do funcionário do apontamento origem;Mês;Natureza do tipo de movimentação;Numero de serie / lote da movimentação;Operação do roteiro da ordem relacionada ao reporte de subproduto;Ordem de agrupamento da ordem de produção da movimentacao;Ordem de produção da movimentação;Pedido de venda;Peso bruto unitário do produto da movimentação (kg);Peso líquido unitário do produto da movimentação (kg);Qtde apontada do apontamento origem;Qtde da movimentação com função no PCP reporte da produção na UM secundaria;Qtde da movimentação com função no PCP reporte da produção na UM terciaria;Quantidade da movimentação;Quantidade da movimentação com função no PCP reporte da produção descontando as devoluções;Quantidade da movimentação com função no PCP reporte de subproduto descontando as devoluções;Quantidade da movimentação com função no PCP requisição da produção descontando as devoluções;Quantidade da movimentação descontando as devoluções;Quantidade da movimentação descontando as devoluções na UM secundária;Quantidade da movimentação descontando as devoluções na UM terciária;Quantidade planejada da ordem de produção da movimentação na unidade de medida secundária;Recurso do apontamento origem;Recurso relacionado ao reporte de subproduto;Setor de entrada;Setor de saída;Status da ordem de agrupamento relacionada a movimentação;Status da ordem de produção;Status do apontamento origem;Status integração;Tempo produtivo do apontamento origem;Tipo de movimentação da movimentação;Tipo de ordem de produção;Tipo de produto da movimentação;Tipo de produto da ordem de produção;Turno de produção;Unidade de medida do produto da movimentação;Usuário responsável pelo apontamento origem
952;;;;;;;;;;;;"SANTHER";"MP00952";;;"S028";;"S028";"S028";;"0";"0";"0";"06/02/2019 10:34:53";"1549456493000";"10/12/2018 15:48:40";;;;"SERVIÇO DE REFORMA DE MANGUEIRAS";;"SERVIÇO DE REFORMA DE MANGUEIRAS";"SERVIÇO DE REFORMA DE MANGUEIRAS";;;;"Applic Hot Melt Aplications";;;"Devolução de reporte da produção";;;"REFORMA DE MANGUEIRAS";"REFORMA DE MANGUEIRAS";"02";;;"Devolução";;;;"OS 00069 - 001";"PV00069";;;;;;"1";"1";;;"1";;;;;;;"ESTOQUE ACABADO";;"Liberada";;;;"Estorno de reporte da produção";;"Serviço";"Serviço";;"UNIDADE";
951;;;;;;;;;;;;;"MP00951";;;"A4432PL01";;;;;;;;"05/02/2019 15:52:00";"1549389120000";;;;;"HOUSING COLEIRO 6000";;;;;;;"Applic Hot Melt Aplications";;;"Nenhuma";;;"STANDARD PARTS";;;;;"Saída";;;;;;;;;;;"1";;;;;;;;;;;"ESTOQUE ACABADO";;;;;;"Retorno de remessa para Industrialização";;"Produto industrializado";;;"UNIDADE";
950;;;;;;;;;;;;;"MP00950";;;"A2539PL55";;;;;;;;"05/02/2019 14:08:00";"1549382880000";;;;;"JUNTA TERMICA 6000 MODIFICADA";;;;;;;"Applic Hot Melt Aplications";;;"Nenhuma";;;"STANDARD PARTS";;;;;"Compra";;;;;;;;;;;"2";;;;;;;;;;"ESTOQUE MP";;;;;;;"Compra";;"Materia prima";;;"PEÇA";
949;;;;;;;;;;;;;"MP00949";;;"A1348PL01";;"A1348PL01";;;"0";"0";"0";"05/02/2019 10:30:00";"1549369800000";"05/02/2019 09:46:01";;;;"PORCA M3 h=2,3mm (BAIXA) - INOXIDÁVEL";;"PORCA M3 h=2,3mm (BAIXA) - INOXIDÁVEL";;;;;"Applic Hot Melt Aplications";;;"Reporte de produção";;;"PEÇAS DIVERSAS";"PEÇAS DIVERSAS";;;;"Entrada";;;;"OS 00201 - 001";;;;;;;"100";"100";;;"100";;;;;;"ESTOQUE ACABADO";;;"Encerrada";;;;"Reporte da produção";"COMPRA";"Produto acabado";"Produto acabado";;"PEÇA";
948;;;;;;;;;;;;;"MP00948";;;"U291";;"U291";;;"0";"0";"0";"05/02/2019 10:30:00";"1549369800000";"05/02/2019 09:43:17";;;;"TRENA IRWIN 5MTS";;"TRENA IRWIN 5MTS";;;;;"Applic Hot Melt Aplications";;;"Reporte de produção";;;;;;;;"Entrada";;;;"OS 00200 - 001";;;;;;;"3";"3";;;"3";;;;;;"ESTOQUE ACABADO";;;"Encerrada";;;;"Reporte da produção";"COMPRA";"Material de uso e consumo";"Material de uso e consumo";;"UNIDADE";
947;;;;;;;;;;;;;"MP00947";;;"U087";;"U087";;;"0";"0";"0";"05/02/2019 10:30:00";"1549369800000";"05/02/2019 00:00:00";;;;"BICO DE LIMPEZA PARA AR COMPRIMIDO";;"BICO DE LIMPEZA PARA AR COMPRIMIDO";;;;;"Applic Hot Melt Aplications";;;"Reporte de produção";;;;;;;;"Entrada";;;;"OS 00199 - 001";;;;;;;"1";"1";;;"1";;;;;;"ESTOQUE ACABADO";;;"Encerrada";;;;"Reporte da produção";"COMPRA";"Material de uso e consumo";"Material de uso e consumo";;"UNIDADE";
946;;;;;;;;;;;;;"MP00946";;;"U087";;;;;;;;"05/02/2019 10:08:00";"1549368480000";;;;;"BICO DE LIMPEZA PARA AR COMPRIMIDO";;;;;;;"Applic Hot Melt Aplications";;;"Nenhuma";;;;;;;;"Compra";;;;;;;;;;;"1";;;;;;;;;;"ESTOQUE ACABADO";;;;;;;"Compra";;"Material de uso e consumo";;;"UNIDADE";
945;;;;;;;;;;;;;"MP00945";;;"U291";;;;;;;;"05/02/2019 10:08:00";"1549368480000";;;;;"TRENA IRWIN 5MTS";;;;;;;"Applic Hot Melt Aplications";;;"Nenhuma";;;;;;;;"Compra";;;;;;;;;;;"3";;;;;;;;;;"ESTOQUE ACABADO";;;;;;;"Compra";;"Material de uso e consumo";;;"UNIDADE";
944;;;;;;;;;;;;;"MP00944";;;"A1348PL01";;;;;;;;"05/02/2019 10:08:00";"1549368480000";;;;;"PORCA M3 h=2,3mm (BAIXA) - INOXIDÁVEL";;;;;;;"Applic Hot Melt Aplications";;;"Nenhuma";;;"PEÇAS DIVERSAS";;;;;"Compra";;;;;;;;;;;"100";;;;;;;;;;"ESTOQUE ACABADO";;;;;;;"Compra";;"Produto acabado";;;"PEÇA";
943;;;;;;;;;;;;;"MP00943";;;"A544PL32";;;;;;;;"05/02/2019 09:53:00";"1549367580000";;;;;"RETENTOR TAMPA SC2-NORGREN";;;;;;;"Applic Hot Melt Aplications";;;"Nenhuma";;;"RETENTOR";;;;;"Compra";;;;;;;;;;;"500";;;;;;;;;;"ESTOQUE MP";;;;;;;"Compra";;"Produto acabado";;;"PEÇA";
942;;;;;;;;;;;;;"MP00942";;;"A327PL32";;;;;;;;"05/02/2019 09:53:00";"1549367580000";;;;;"RETENTOR TAMPA SC2-FESTO";;;;;;;"Applic Hot Melt Aplications";;;"Nenhuma";;;"RETENTOR";;;;;"Compra";;;;;;;;;;;"500";;;;;;;;;;"ESTOQUE MP";;;;;;;"Compra";;"Produto acabado";;;"PEÇA";
941;;;;;;;;;;;;;"MP00941";;;"L022";;;;;;;;"05/02/2019 09:34:00";"1549366440000";;;;;"RODO PLASTICO DE 40 CM";;;;;;;"Applic Hot Melt Aplications";;;"Nenhuma";;;;;;;;"Compra";;;;;;;;;;;"1";;;;;;;;;;"ESTOQUE ACABADO";;;;;;;"Compra";;"Material de uso e consumo";;;"UNIDADE";
940;;;;;;;;;;;;;"MP00940";;;"L023";;;;;;;;"05/02/2019 09:34:00";"1549366440000";;;;;"COPO 180ML";;;;;;;"Applic Hot Melt Aplications";;;"Nenhuma";;;"STANDARD PARTS";;;;;"Compra";;;;;;;;;;;"1";;;;;;;;;;"ESTOQUE ACABADO";;;;;;;"Compra";;"Material de uso e consumo";;;"LITRO";
939;;;;;;;;;;;;;"MP00939";;;"L029";;;;;;;;"05/02/2019 09:34:00";"1549366440000";;;;;"DETERGENTE 500ml";;;;;;;"Applic Hot Melt Aplications";;;"Nenhuma";;;;;;;;"Compra";;;;;;;;;;;"1";;;;;;;;;;"ESTOQUE ACABADO";;;;;;;"Compra";;"Material de uso e consumo";;;"UNIDADE";
938;;;;;;;;;;;;;"MP00938";;;"L028";;;;;;;;"05/02/2019 09:34:00";"1549366440000";;;;;"LUVA DE VINIL";;;;;;;"Applic Hot Melt Aplications";;;"Nenhuma";;;;;;;;"Compra";;;;;;;;;;;"1";;;;;;;;;;"ESTOQUE ACABADO";;;;;;;"Compra";;"Material de uso e consumo";;;"UNIDADE";
937;;;;;;;;;;;;;"MP00937";;;"L027";;;;;;;;"05/02/2019 09:34:00";"1549366440000";;;;;"VASSOURA";;;;;;;"Applic Hot Melt Aplications";;;"Nenhuma";;;;;;;;"Compra";;;;;;;;;;;"1";;;;;;;;;;"ESTOQUE ACABADO";;;;;;;"Compra";;"Material de uso e consumo";;;"UNIDADE";
