id;Cliente / fornecedor da ordem de produção;Cliente do pedido de venda;Código da ordem de agrupamento relacionada a ordem de produção;Código do produto da ordem de agrupamento relacionada a ordem de produção;Código do produto da ordem de produção;Código do produto do item de pedido de venda;Código secundário do produto;Data criação milisegundos;Data de criação da ordem;Data de emissão do pedido de venda;Data de encerramento da ordem de produção;Data de entrega do item de pedido de venda;Data de entrega original da ordem;Data de entrega planejada da ordem de produção;Data inicial planejada da ordem;Data/hora da liberação da ordem;Data/hora da primeira requisição da ordem;Data/hora da última requisição da ordem;Data/hora de cancelamento da ordem de produção;Descrição do produto da ordem de agrupamento relacionada a ordem de produção;Descrição do produto da ordem de produção;Descrição do produto do item de pedido de venda;Empresa da ordem de produção;Família de produto da ordem de produção;Família do produto do item de pedido de venda;Grupo de produto da ordem de produção;Grupo de produto do item de pedido de venda;Horas de atraso da ordem de produção;Item de pedido de venda da ordem de produção;Lead time da ordem de produção;Lead time da ordem em relação ao pedido de venda;Lote/série da ordem de produção;Observações da ordem de produção;Ordem cliente do item de pedido de venda;Ordem de produção;Ordem de produção atrasada?;Ordem enviada para a lixeira?;Pedido de venda;Preço unitário do item de pedido;Prioridade da ordem de produção;Projeto cliente do item de pedido de venda;Qtde apontada como pronta;Qtde apontada como pronta na u.m. secundária;Qtde apontada na 1a operação da ordem;Qtde apontada na 1a operação da ordem na u.m. secundária;Qtde apontada na última operação da ordem;Qtde apontada na última operação da ordem na u.m. secundária;Qtde atendida do item de pedido;Qtde expedida da ordem;Qtde expedida da ordem na u.m. secundaria ;Qtde expedida da ordem na u.m. terciaria;Qtde faturada do item de pedido de venda;Qtde liberada para fabricação;Qtde liberada para fabricação na u.m. secundária;Qtde planejada da ordem na u.m. secundária do produto;Qtde planejada da ordem na u.m. terciária do produto;Qtde planejada inicial da ordem de produção;Qtde produzida da ordem de produção;Qtde produzida da ordem na u.m. secundária do produto;Qtde produzida da ordem na u.m. terciária do produto;Quantidade de reprogramações da data de entrega da ordem;Quantidade do item de pedido de venda;Quantidade planejada da ordem de produção;Saldo a faturar do item de pedido de venda;Saldo da ordem de produção;Saldo da ordem na u.m. secundária do produto;Saldo da ordem na u.m. terciária do produto;Status da ordem de agrupamento relacionada a ordem;Status da ordem de produção;Status do item de pedido de venda relacionado a ordem;Tempo total produtivo da ordem de produção;Tempo total produtivo de MOD da ordem de produção;Tipo de ordem de produção;Tipo de pedido do pedido de venda;Tipo de produto da ordem de produção;Tipo de produto do item de pedido de venda;U.m. do produto da ordem de produção;U.m. do produto do item de pedido de venda;U.m. secundária do produto da ordem de produção;U.m. terciária do produto da ordem de produção;UF do cliente do item de pedido de venda relacionado a ordem
373;;;;;"A1348PL01";;;"1549367161000";"05/02/2019 09:46:01";;"05/02/2019 10:30:29";;"05/02/2019 00:00:00";"05/02/2019 17:00:00";"22/01/2019 17:00:00";"05/02/2019 09:46:01";;;;;"PORCA M3 h=2,3mm (BAIXA) - INOXIDÁVEL";;"Applic Hot Melt Aplications";;;"PEÇAS DIVERSAS";;"6,49194431304931640625";;"2668";"2668";;;;"OS 00201 - 001";"Sim";"false";;;"100";;"0";;;;;;;"0";;;;"0";;;;"100";"100";;;"0";;"100";;"0";;;;"Encerrada";;"0";"0";"COMPRA";;"Produto acabado";;"PEÇA";;;;
372;;;;;"U291";;;"1549366997000";"05/02/2019 09:43:17";;"05/02/2019 10:30:29";;"05/02/2019 00:00:00";"05/02/2019 17:00:00";"22/01/2019 17:00:00";"05/02/2019 09:43:17";;;;;"TRENA IRWIN 5MTS";;"Applic Hot Melt Aplications";;;;;"6,49194431304931640625";;"2832";"2832";;;;"OS 00200 - 001";"Sim";"false";;;"100";;"0";;;;;;;"0";;;;"0";;;;"3";"3";;;"0";;"3";;"0";;;;"Encerrada";;"0";"0";"COMPRA";;"Material de uso e consumo";;"UNIDADE";;;;
371;"H.M PARAFUSOS E ACESSORIOS INDUSTRIAIS LTDA";;;;"U087";;;"1549332000000";"05/02/2019 00:00:00";;"05/02/2019 10:30:29";;"05/02/2019 00:00:00";"05/02/2019 17:00:00";"22/01/2019 17:00:00";"05/02/2019 00:00:00";;;;;"BICO DE LIMPEZA PARA AR COMPRIMIDO";;"Applic Hot Melt Aplications";;;;;"6,49194431304931640625";;"37829";"37829";;;;"OS 00199 - 001";"Sim";"false";;;"100";;"0";;;;;;;"0";;;;"0";;;;"3";"1";;;"0";;"1";;"0";;;;"Encerrada";;"0";"0";"COMPRA";;"Material de uso e consumo";;"UNIDADE";;;;
370;;"KIMBERLY -CLARK BRASIL INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE LTDA";;;"SERV.0002";"SERV.0002";;"1549302279000";"04/02/2019 15:44:39";"04/02/2019 00:00:00";;"24/02/2019 15:40:30";"24/02/2019 00:00:00";"24/02/2019 17:00:00";"10/02/2019 17:00:00";"04/02/2019 15:44:39";;;;;"SERVIÇO LIMPEZA DE FILTRO";"SERVIÇO LIMPEZA DE FILTRO";"Applic Hot Melt Aplications";;;;;;"01";;;;;;"OS 00198 - 001";"Não";"false";"PV00120";"14,5";"100";;"0";;;;;;"0";"0";;;"0";"0";;;;"56";"0";;;"0";"56";"56";"56";"56";;;;"Liberada";"Liberado";"0";"0";"SERVICO INTERNO";;"Serviço";"Serviço";"UNIDADE";"UNIDADE";;;"SP"
369;;"MARDAM INDUSTRIA";;;"A824PL45";"A199PL32";;"1549245600000";"04/02/2019 00:00:00";"10/01/2019 00:00:00";;"10/01/2019 00:00:00";"27/12/2018 00:00:00";"27/12/2018 00:00:00";"13/12/2018 00:00:00";"04/02/2019 00:00:00";;;"04/02/2019 15:12:37";;"COROA UM22/25/50-MONTADA";"KIT REPARO UM 22/25/50";"Applic Hot Melt Aplications";;;"MÓDULO UM";"MÓDULO UM";;"01";;;;;;"OS 00197 - 003";"Não";"false";"PV00091";"513";"100";;"0";;;;;;"40";"0";;;"40";"0";;;;"226";"0";;;"0";"240";"226";"0";"226";;;;"Cancelada";"Atendido com corte";"0";"0";"FABRICAÇÃO";"SEPARAÇÃO";"Materia prima";"Produto industrializado";"PEÇA";"PEÇA";;;"SP"
368;;"MARDAM INDUSTRIA";;;"A1305PL45";"A199PL32";;"1549300277000";"04/02/2019 15:11:17";"10/01/2019 00:00:00";;"10/01/2019 00:00:00";"27/12/2018 00:00:00";"27/12/2018 00:00:00";"13/12/2018 00:00:00";"04/02/2019 16:36:53";;;"04/02/2019 16:15:14";;"AGULHA UM25 COMPLETA- MODULO UM22/25/50";"KIT REPARO UM 22/25/50";"Applic Hot Melt Aplications";;;"MÓDULO UM";"MÓDULO UM";;"01";;;;;;"OS 00197 - 002";"Não";"false";"PV00091";"513";"100";;"0";;;;;;"40";"0";;;"40";"0";;;;"231";"0";;;"0";"240";"20";"0";"20";;;;"Liberada";"Atendido com corte";"0";"0";"FABRICAÇÃO";"SEPARAÇÃO";"Produto acabado";"Produto industrializado";"PEÇA";"PEÇA";;;"SP"
367;;;;;"A199PL32";;;"1549245600000";"04/02/2019 00:00:00";;"04/02/2019 16:40:53";;"10/01/2019 00:00:00";"10/01/2019 00:00:00";"27/12/2018 00:00:00";"04/02/2019 16:36:53";;;"04/02/2019 16:15:14";;"KIT REPARO UM 22/25/50";;"Applic Hot Melt Aplications";;;"MÓDULO UM";;;;"60053";"60053";;;;"OS 00197 - 001";"Não";"false";;;"100";;"0";;;;;;;"0";;;;"0";;;;"231";"20";;;"0";;"20";;"0";;;;"Encerrada";;"0";"0";"FABRICAÇÃO";;"Produto industrializado";;"PEÇA";;;;
366;;;;;"INSUM.0170";;;"1549288820000";"04/02/2019 12:00:20";;"04/02/2019 16:43:02";;"04/02/2019 00:00:00";"04/02/2019 17:00:00";"21/01/2019 17:00:00";"04/02/2019 12:00:20";;;;;"TINTA SPRAY 400ml METÁLICA PRATA";;"Applic Hot Melt Aplications";;;;;"0,2827777862548828125";;"16962";"16962";;;;"OS 00196 - 001";"Sim";"false";;;"100";;"0";;;;;;;"0";;;;"0";;;;"1";"1";;;"0";;"1";;"0";;;;"Encerrada";;"0";"0";"COMPRA";;"Material de uso e consumo";;"UNIDADE";;;;
365;;;;;"INSUM.0169";;;"1549288772000";"04/02/2019 11:59:32";;"04/02/2019 16:43:02";;"04/02/2019 00:00:00";"04/02/2019 17:00:00";"21/01/2019 17:00:00";"04/02/2019 11:59:32";;;;;"TINTA SPRAY 400ml USO GERAL PRIMER";;"Applic Hot Melt Aplications";;;;;"0,2827777862548828125";;"17010";"17010";;;;"OS 00195 - 001";"Sim";"false";;;"100";;"0";;;;;;;"0";;;;"0";;;;"1";"1";;;"0";;"1";;"0";;;;"Encerrada";;"0";"0";"COMPRA";;"Material de uso e consumo";;"UNIDADE";;;;
364;;;;;"U289";;;"1549288710000";"04/02/2019 11:58:30";;"04/02/2019 16:43:02";;"04/02/2019 00:00:00";"04/02/2019 17:00:00";"21/01/2019 17:00:00";"04/02/2019 11:58:30";;;;;"PARAFUSO SEXTAVADO M8x1,25mm";;"Applic Hot Melt Aplications";;;;;"0,2827777862548828125";;"17072";"17072";;;;"OS 00194 - 001";"Sim";"false";;;"100";;"0";;;;;;;"0";;;;"0";;;;"50";"50";;;"0";;"50";;"0";;;;"Encerrada";;"0";"0";"COMPRA";;"Material de uso e consumo";;"UNIDADE";;;;
